1100032	1	1
1100032	4	2
1100131	1	5
1100131	12	4
1100131	16	5
1100131	18	3
1100131	21	1
1100131	22	1
1100172	1	2
1100172	16	1
1100180	1	5
1100180	4	1
1100255	16	1
1100289	1	2
1100289	2	2
1100289	4	2
1100289	16	5
1100289	20	1
1100289	21	5
1100289	22	5
1100313	16	5
1100313	22	3
1100339	2	5
1100339	14	3
1100339	18	4
1100339	21	5
1100354	4	2
1100404	13	1
1100404	18	2
1100404	22	2
1100487	2	1
1100578	14	2
1100578	16	2
1100578	22	1
1100586	2	1
1100586	21	4
1100586	22	1
1100602	1	4
1100602	2	2
1100602	10	1
1100602	16	2
1100602	22	1
1100628	4	1
1100628	14	2
1100628	16	4
1100628	18	2
1100628	21	2
1100644	4	2
1100644	14	3
1100677	1	5
1100677	4	1
1100677	22	1
1100701	1	5
1100701	13	2
1100701	16	5
1100701	18	4
1100701	21	4
1100719	1	1
1100735	1	2
1100735	2	2
1100735	4	3
1100735	13	1
1100735	14	2
1100735	18	3
1100735	20	1
1100735	21	3
1100750	16	1
1100750	21	2
1100792	1	5
1100792	2	1
1100792	4	4
1100792	13	1
1100792	14	5
1100792	16	5
1100818	1	4
1100818	4	3
1100818	13	4
1100818	16	5
1100818	18	4
1100818	21	2
1100875	1	1
1100875	2	1
1100875	4	3
1100875	12	1
1100875	16	1
1100875	22	5
1100883	13	1
1100883	22	2
1100966	4	5
1100966	16	3
1100966	22	5
1101014	4	2
1101014	21	2
1101022	1	2
1101022	16	4
1101022	21	4
1101022	22	4
1101048	16	5
1101048	21	3
1101097	16	1
1101097	22	4
1101204	16	3
1101204	22	3
1101220	1	4
1101220	2	2
1101220	4	4
1101220	16	4
1101220	18	3
1101220	21	2
1101261	1	4
1101261	4	3
1101261	14	2
1101261	16	2
1101261	22	3
1101378	16	5
1101378	22	5
1101402	14	2
1101402	16	2
1101410	16	1
1101444	1	2
1101444	16	3
1101485	1	3
1101485	4	4
1101485	16	5
1101485	18	3
1101485	21	3
1101519	1	4
1101519	4	3
1101543	1	2
1101568	4	1
1101568	16	4
