1100032	200	1
1100032	300	1
1100032	1500	2
1100131	103	7
1100131	109	1
1100131	200	15
1100131	300	23
1100131	400	5
1100131	408	1
1100131	425	1
1100131	600	6
1100131	800	1
1100131	900	1
1100131	1200	8
1100131	1213	1
1100131	1226	1
1100131	1500	1
1100131	2900	2
1100172	109	1
1100172	134	1
1100180	109	4
1100180	200	1
1100180	400	11
1100180	500	2
1100180	1100	7
1100180	1200	4
1100289	100	16
1100289	204	1
1100289	400	35
1100289	500	1
1100289	600	4
1100289	1028	10
1100289	1100	1
1100289	1200	43
1100289	1400	4
1100313	100	3
1100313	102	1
1100313	109	4
1100313	200	2
1100313	400	4
1100313	600	4
1100313	800	1
1100313	1028	1
1100313	1200	3
1100313	1400	2
1100339	100	12
1100339	104	16
1100339	200	3
1100339	204	13
1100339	300	3
1100339	304	10
1100339	410	2
1100339	415	2
1100339	1200	30
1100339	1500	1
1100354	100	2
1100354	109	2
1100354	300	1
1100354	600	1
1100354	800	2
1100354	1200	1
1100354	1400	1
1100404	100	10
1100404	109	1
1100404	125	1
1100404	300	7
1100404	400	39
1100404	408	4
1100404	800	22
1100404	900	1
1100404	1200	7
1100404	1600	1
1100404	2900	1
1100487	100	2
1100487	400	2
1100487	600	1
1100578	109	1
1100578	400	4
1100578	408	1
1100578	1013	1
1100578	1200	2
1100578	1500	1
1100578	1600	1
1100586	100	1
1100586	109	1
1100586	300	1
1100586	415	1
1100602	102	2
1100602	104	4
1100602	121	1
1100602	400	12
1100602	410	3
1100602	800	1
1100602	1200	1
1100602	1400	1
1100602	2900	2
1100628	100	3
1100628	109	3
1100628	200	1
1100628	300	5
1100628	400	3
1100628	600	6
1100628	1028	2
1100628	1500	1
1100628	1700	1
1100628	2900	1
1100644	100	1
1100644	200	1
1100644	300	1
1100644	600	1
1100644	1200	1
1100644	1600	1
1100677	100	7
1100677	104	1
1100677	200	1
1100677	600	3
1100677	1600	1
1100677	2900	2
1100701	100	22
1100701	200	15
1100701	300	7
1100701	400	1
1100701	408	1
1100701	410	2
1100701	500	2
1100701	600	2
1100701	1400	9
1100701	1700	1
1100735	100	4
1100735	109	3
1100735	200	4
1100735	410	3
1100735	900	2
1100735	1600	3
1100750	1500	3
1100792	100	11
1100792	109	2
1100792	300	13
1100792	400	18
1100792	408	1
1100792	410	1
1100792	415	1
1100792	500	19
1100792	600	1
1100792	1013	3
1100792	1100	1
1100792	1132	4
1100792	1200	25
1100792	1400	2
1100792	1600	4
1100818	100	11
1100818	200	10
1100818	300	6
1100818	400	13
1100818	408	4
1100818	600	15
1100818	800	8
1100818	1000	1
1100818	1013	1
1100818	1028	1
1100818	1400	1
1100818	2900	1
1100875	100	7
1100875	127	1
1100875	400	1
1100875	408	3
1100875	500	1
1100875	1200	2
1100875	1600	1
1100883	408	3
1100883	1013	1
1100966	100	6
1100966	200	13
1100966	300	10
1100966	400	9
1100966	408	2
1100966	410	2
1100966	600	5
1100966	900	1
1100966	1028	1
1100966	1200	5
1100966	1400	3
1100966	1700	1
1101014	100	1
1101014	200	2
1101014	400	1
1101014	1400	1
